celltype,gene,deg,eff,sens,trans,eigenvec_centr,closeness_centr
Fib,GREM2,3,3.9336471349632824,1.5891831999731463,0.3333333333333333,0.01294963749387691,0.21551724137931033
Fib,ADGRD1,1,0.649071607027331,1.5819733230070452,0,0.019213499040735885,0.228310502283105
Fib,P2RY1,1,0.6490716070273241,1.5819733230070336,0,0.019213499040735885,0.228310502283105
Fib,CLEC3B,4,5.632128833552819,1.568350261304084,0,0.05275312303764246,0.25773195876288657
Fib,WNT2B,6,12.29748906982002,1.5348762388600299,0.4,0.15884431483366188,0.2680965147453083
Fib,ELANE,3,4.032221579661724,1.5298013160981212,1,0.15275287271179874,0.27932960893854747
Fib,BMPER,3,4.066810499968418,1.5152736825286097,0.3333333333333333,0.016278447753353024,0.22026431718061673
Fib,GSN,2,2.558895975340558,1.492613540092762,0,0.022028418853842956,0.234192037470726
Fib,CNTN1,3,5.018332039029763,1.4580525554145962,0.3333333333333333,0.056999807233960635,0.26109660574412535
Fib,CP,3,5.907772665201952,1.4481105857876286,0.3333333333333333,0.039509700938786405,0.24875621890547264
Fib,IL33,5,6.822302743847339,1.4290336472578409,0.4,0.17196217439602693,0.2857142857142857
Fib,WNT2,9,18.26359520598787,1.4056722881467503,0.2222222222222222,0.2423898764533625,0.29411764705882354
Fib,SFRP1,6,12.315192146850952,1.4044033992270775,0.26666666666666666,0.12633008065956422,0.2724795640326976
Fib,FGF10,7,14.21781242644566,1.396249757622389,0.42857142857142855,0.2919554684213356,0.2976190476190476
Fib,BMP5,4,6.163561942429502,1.3678882160718757,0.16666666666666666,0.03832658512605153,0.2331002331002331
Fib,FABP4,4,6.836955469099818,1.3614777105954254,0,0.07215271319806432,0.26595744680851063
Fib,COL11A1,10,24.83856044176569,1.2999039459490944,0.1111111111111111,0.17438700308021393,0.31545741324921134
Fib,KLF4,6,11.285529206245116,1.275344571140883,0.4,0.23330983072910758,0.29239766081871343
Fib,TGFBR3,4,5.976600211329956,1.2502027852724777,0,0.09132382457826341,0.2724795640326976
Fib,CFD,2,2.364095266332831,1.2100706023604333,0,0.04477329368523917,0.25839793281653745
Fib,CCL8,3,4.413228284388787,1.1730399690371192,0.3333333333333333,0.10862431302525866,0.28169014084507044
Fib,C7,3,5.990303314884631,1.1552019150348918,0,0.07595314801079121,0.273972602739726
Fib,INHBA,4,7.668383087402298,1.0683199449287981,0,0.04831537792666795,0.2557544757033248
Fib,FGF13,8,12.508232349050944,1.066070369006059,0.32142857142857145,0.2933850371012435,0.31746031746031744
Fib,LPAR1,4,5.753991261531399,0.9984437114137443,0.16666666666666666,0.09680805785508552,0.2840909090909091
Fib,CD34,11,30.534410518138483,0.9918729381710062,0.2,0.3519955041038147,0.3184713375796178
Fib,CLU,8,18.491379162015548,0.9702401211975823,0.03571428571428571,0.08201682090330582,0.2849002849002849
Fib,AGTR1,6,9.396532331374448,0.9442489263182445,0.06666666666666667,0.11754825463461294,0.2949852507374631
Fib,PTN,7,18.279326888281332,0.9039856289438127,0.09523809523809523,0.20177045487165013,0.3184713375796178
Fib,GFRA1,3,2.9868104632707584,0.8454604337356555,0.3333333333333333,0.11831558672324335,0.2785515320334262
Fib,CXCL12,14,36.91612265530524,0.8008264696229148,0.15384615384615385,0.41058493342241664,0.35335689045936397
Glial,CHL1,1,0.30837824094892446,1.9983818989032405,0,0.07427469348510589,0.358974358974359
Glial,SCN7A,1,0.3083782409489229,1.9983818989032358,0,0.07427469348510589,0.358974358974359
Glial,GPM6B,1,0.3176506642045055,1.9224609866967866,0,0.08403774921833428,0.34146341463414637
Glial,CDH19,2,0.7826435902418442,1.6060118220695498,1,0.1476703431458478,0.35
Glial,SORCS1,2,0.7147809342740055,1.4007036961875354,1,0.16858888948100742,0.4
Glial,CADM2,2,0.7147809342740056,1.400703696187533,1,0.1685888894810074,0.4
Glial,LRRC4C,1,0.2011126145585509,1.1156902907625499,0,0.12452183251752065,0.3888888888888889
Glial,SOX10,3,1.285394742604017,1.0105463115949183,0.6666666666666666,0.2434414522831471,0.4666666666666667
Glial,SEMA3B,1,0.13703453985701802,0.8134847503143655,0,0.12080449618197245,0.4
Glial,PLP1,5,2.8211690611028755,0.7399291373029203,0.2,0.32150617244400054,0.5
Glial,ANK2,4,2.1794154971721893,0.5074685602946245,0.16666666666666666,0.2841553067991728,0.5384615384615384
Glial,NRXN1,7,3.1554835982917244,0.26428030599446406,0.19047619047619047,0.476387553579157,0.6086956521739131
Glial,NLGN4X,3,0.4533308341637995,0.2574170012729437,0.6666666666666666,0.32182977271379365,0.4827586206896552
Glial,ATP1A2,3,0.5468067463283385,0.23481977017871997,0.3333333333333333,0.2926819160746339,0.5
Glial,L1CAM,6,1.4305139176270198,0.08659402993435383,0.2,0.4621660092369347,0.6363636363636364
Mono/Macro,KMO,1,0.3575248016391153,28.5006181607952,0,0.0000027777453362439288,0.19148936170212766
Mono/Macro,KYNU,2,1.094340104466614,16.342912917425345,0,0.00007848355184217732,0.2364963503649635
Mono/Macro,CREB5,2,0.8503737182015952,14.393584279408424,0,0.00005034379143001033,0.2364963503649635
Mono/Macro,RAB31,2,0.8507157999821887,13.454656818066777,0,0.00017933862376044558,0.25273010920436817
Mono/Macro,TMEM176A,1,0.2665793774317524,13.131602840704145,0,0.00016057548068549446,0.2535211267605634
Mono/Macro,RRAGD,2,0.7578269187861426,10.595584307566892,1,0.00014315793012757298,0.2488479262672811
Mono/Macro,FNIP2,2,0.7578269187861431,10.595584307566892,1,0.000143157930127528,0.2488479262672811
Mono/Macro,SDSL,2,0.5226363638372566,8.44853279983465,1,0.00004087933762018487,0.23309352517985613
Mono/Macro,MRAS,1,0.1578838295352028,7.055401738470022,0,0.00013619119423030843,0.2417910447761194
Mono/Macro,ENPP2,2,0.8906809268966941,6.8404333419460635,0,0.0012430954320727904,0.30393996247654786
Mono/Macro,SDS,3,0.93183187779386,5.991121658778037,0.6666666666666666,0.00046563664796341216,0.29084380610412924
Mono/Macro,TMEM176B,2,1.0177098913336582,5.358102520635346,0,0.004536965249755267,0.3389121338912134
Mono/Macro,RAB32,2,0.8929723308037695,5.008179658834377,0,0.005016762970242292,0.3326488706365503
Mono/Macro,BCAT1,5,1.770713086453692,3.8954723886324074,0.2,0.0006893848623181258,0.30280373831775703
Mono/Macro,ATP6V1B2,4,2.059340936205328,3.5932771768610627,0.16666666666666666,0.003901684728556466,0.329938900203666
Mono/Macro,OTOA,1,0.07790451894219487,3.331959148143753,0,0.0005397454577224532,0.2621359223300971
Mono/Macro,IL4I1,2,0.312922585151573,3.0201204114303932,0,0.0005832070328473395,0.2877442273534636
Mono/Macro,DSE,1,0.04098904515942023,2.8856758827321918,0,0.0008298186298925089,0.28125
Mono/Macro,KCNMB1,1,0.024105388258003735,2.5694428924047923,0,0.0012413136290253472,0.30111524163568776
Mono/Macro,GNS,5,2.1820314357485744,2.2920101775634736,0.3,0.002214728600375047,0.30798479087452474
Mono/Macro,ETV5,1,0.024499438427715788,2.03274898213228,0,0.0018274428777046543,0.3016759776536313
Mono/Macro,ABL2,1,0.024499438427715646,2.0327489821321683,0,0.0018274428777046543,0.3016759776536313
Mono/Macro,HS3ST1,2,0.1819163033581228,1.8622622200846977,1,0.0007958112452331562,0.28371278458844135
Mono/Macro,GNB4,3,1.0959334253975357,1.8415516011188677,0,0.003848001655715426,0.3182711198428291
Mono/Macro,SLC31A1,1,0.01912852003487147,1.7181893042893204,0,0.0021642429823086995,0.30451127819548873
Mono/Macro,SLC31A2,1,0.019128520034871577,1.7181893042893177,0,0.0021642429823086995,0.30451127819548873
Mono/Macro,GM2A,3,0.2573888976780766,1.6014707644777821,0,0.0010307406475518152,0.30916030534351147
Mono/Macro,MARCKS,1,0.015730307437718014,1.5284244713113133,0,0.0024380484804648102,0.30393996247654786
Mono/Macro,C2,1,0.01111689048993914,1.457714581500687,0,0.004531282048853727,0.3375
Mono/Macro,SGPL1,2,0.0813837087092912,1.078930962847662,0,0.003086346964414958,0.3201581027667984
Mono/Macro,PLBD1,2,0.09877906890919157,1.0676661579297169,0,0.0013588256089080554,0.29944547134935307
Mono/Macro,NRP2,2,0.27495688127596646,1.0538024274382973,0,0.0040296581258964905,0.31213872832369943
Mono/Macro,GLUL,6,1.522246448709491,1.0356311731310293,0.13333333333333333,0.012426023931992226,0.400990099009901
Mono/Macro,ADGRE2,1,0.011530661946344264,0.9877769926883085,0,0.0069499503600017176,0.33540372670807456
Mono/Macro,PLXNC1,2,0.2806065247223402,0.9616908730304522,0,0.007111056932384482,0.35064935064935066
Mono/Macro,MCOLN1,2,0.13545911649443318,0.8496428821399328,0,0.0031026083550712053,0.3220675944333996
Mono/Macro,ASAH1,6,0.9323888145463621,0.8494227300151371,0.2,0.007689339900349951,0.3624161073825503
Mono/Macro,SUCNR1,1,0.010630050927858393,0.8394648166953541,0,0.008914685069989079,0.3767441860465116
Mono/Macro,FABP3,2,0.06493615633428926,0.8159988925524122,0,0.0031257266519025884,0.3188976377952756
Mono/Macro,PIK3AP1,2,0.06551539231918188,0.7903179177557214,0,0.003442073574659023,0.32270916334661354
Mono/Macro,NRG1,3,0.24117762109571222,0.7709112876552371,0.6666666666666666,0.0036823809431201825,0.30740037950664134
Mono/Macro,UBASH3B,2,0.07393227587239143,0.7467711040605468,0,0.003478259371062706,0.31153846153846154
Mono/Macro,TPP1,5,0.5429950515524774,0.7013464846726571,0.6,0.007490418877412346,0.34177215189873417
Mono/Macro,SGK1,3,0.24353646829035697,0.6975774886740251,0.3333333333333333,0.0035706423383289046,0.313953488372093
Mono/Macro,SIGLEC7,10,0.4844286997174244,0.6715300192406506,0.8444444444444444,0.041767411019790826,0.3811764705882353
Mono/Macro,LAIR1,17,1.2599224136131761,0.6518839771276631,0.625,0.07222245545264247,0.405
Mono/Macro,CLEC4A,18,1.359820213332948,0.6497562239160891,0.6143790849673203,0.08358741773404894,0.42744063324538256
Mono/Macro,CCRL2,23,2.034210686733423,0.6491594244923918,0.7430830039525692,0.12572202527630852,0.44505494505494503
Mono/Macro,SIGLEC9,13,0.7741201409138101,0.6443911635823383,0.6153846153846154,0.047333151157300794,0.38663484486873506
Mono/Macro,CD300A,20,1.703933138156738,0.6401993652765561,0.5526315789473685,0.07522702733580267,0.4153846153846154
Mono/Macro,PILRA,9,0.3752229912613982,0.640169657169976,0.7777777777777778,0.03908181332497404,0.3847980997624703
Mono/Macro,IL3RA,20,1.571211917052016,0.6327676552139078,0.6263157894736842,0.09878856203566129,0.432
Mono/Macro,IL6R,18,1.2944008363729755,0.621719276544794,0.738562091503268,0.10080589185038605,0.43902439024390244
Mono/Macro,HPSE,4,0.5655189798577658,0.6182919426685758,0.3333333333333333,0.009274055631525602,0.36404494382022473
Mono/Macro,CD83,23,2.0150720514581963,0.6180123371544846,0.6324110671936759,0.11844780666212497,0.44505494505494503
Mono/Macro,CD80,32,3.627316044454032,0.6111739436246052,0.5665322580645161,0.15702805126942146,0.47230320699708456
Mono/Macro,FCGR2A,36,4.596419406622502,0.6110038812473152,0.5206349206349207,0.16849683726577305,0.48214285714285715
Mono/Macro,TNFSF13B,25,2.3195554177113737,0.6107722092150752,0.65,0.1309589956089109,0.46153846153846156
Mono/Macro,CD300E,7,0.2353753514902145,0.6063083538314263,0.9523809523809523,0.0350171201209505,0.38388625592417064
Mono/Macro,CEACAM4,2,0.040860573335856194,0.6053147725758257,0,0.0038194685983773905,0.32595573440643866
Mono/Macro,LILRB3,17,1.2407735734905052,0.6013531686654788,0.5147058823529411,0.06401145802650787,0.4090909090909091
Mono/Macro,SIRPA,27,2.7375390247696476,0.5921469503959019,0.49002849002849,0.12016748862772929,0.46153846153846156
Mono/Macro,ANKRD22,2,0.05826974040415146,0.5907110733262415,0,0.006878789433348703,0.3319672131147541
Mono/Macro,SLC15A3,2,0.04516962752128294,0.5904660199285189,0,0.003119977256761059,0.32335329341317365
Mono/Macro,LILRB4,16,1.0754104785296072,0.5890757298675405,0.6083333333333333,0.07706887289352274,0.4251968503937008
Mono/Macro,CXCL3,14,0.8438839483121223,0.5835762304843988,0.7362637362637363,0.06952777814770969,0.4175257731958763
Mono/Macro,CXCL16,17,1.1767857385915002,0.5819282740603078,0.6838235294117647,0.09037504713718157,0.43783783783783786
Mono/Macro,CCL4L2,9,0.35451536632103353,0.5663677898141604,0.8333333333333334,0.04577373005154682,0.4
Mono/Macro,CCL3,40,5.361512725358974,0.5628024863162653,0.46153846153846156,0.18101789564498938,0.49693251533742333
Mono/Macro,CSF2RB,14,0.8685927203667192,0.561578825678327,0.5054945054945055,0.05825306475861938,0.42408376963350786
Mono/Macro,HAVCR2,29,3.2068155893563377,0.5599389959414566,0.43349753694581283,0.12205860558054374,0.453781512605042
Mono/Macro,ITGAX,46,6.882902906837418,0.5599106475424881,0.41835748792270533,0.19887565714051078,0.5175718849840255
Mono/Macro,CXCL2,30,3.2513213828310263,0.5573211196796936,0.5057471264367817,0.13718749720955686,0.47093023255813954
Mono/Macro,SIGLEC10,6,0.17963860378156543,0.5492737773400915,0.6,0.027655439811512035,0.3793911007025761
Mono/Macro,OSM,14,0.7985934464753008,0.5469619586493623,0.6043956043956044,0.06972523197130237,0.4297082228116711
Mono/Macro,TREM1,37,4.7948922209616915,0.544805655235244,0.4219219219219219,0.15681137679304583,0.4909090909090909
Mono/Macro,CD300LF,18,1.5334052844292418,0.5387094606717144,0.49019607843137253,0.07284424405578317,0.43783783783783786
Mono/Macro,S100A9,18,1.2342289230603274,0.5382416270445477,0.5751633986928104,0.08671584092841297,0.4462809917355372
Mono/Macro,S100A8,15,0.897129246204125,0.536887501234977,0.6,0.0732727179468783,0.43548387096774194
Mono/Macro,CD93,13,0.6982415452425865,0.5366960726946252,0.5897435897435898,0.06348182021310092,0.4080604534005038
Mono/Macro,LCP2,21,2.046051798359628,0.5322344718554688,0.5476190476190477,0.08993186197158339,0.4343163538873995
Mono/Macro,IL1RN,35,4.200177947682668,0.5321193258753174,0.44537815126050423,0.15346590209478478,0.48942598187311176
Mono/Macro,CTSZ,6,0.6090687178319034,0.5296543510307068,0.4,0.009007603631227228,0.34838709677419355
Mono/Macro,FCGR3A,53,9.11076426173669,0.5280180764455233,0.36284470246734396,0.21117564434197453,0.5242718446601942
Mono/Macro,FCGR1A,40,5.599062736998347,0.5271689067983625,0.4358974358974359,0.17308339003879586,0.4864864864864865
Mono/Macro,CD86,48,8.174657162810874,0.5189373367318997,0.38652482269503546,0.1963667375381973,0.5031055900621118
Mono/Macro,CLEC7A,34,3.9101565774701994,0.5135613312101454,0.47058823529411764,0.1558376829936863,0.49240121580547114
Mono/Macro,GK,2,0.029488710826014425,0.5125171434516834,1,0.009289549273308877,0.3544857768052516
Mono/Macro,THBD,22,2.1796674757561987,0.51111089835655,0.5411255411255411,0.10674455045879913,0.45
Mono/Macro,BCL2A1,13,0.6937657439752611,0.5080454691093084,0.6538461538461539,0.06833742922628268,0.4343163538873995
Mono/Macro,SH3PXD2B,2,0.042141660829987895,0.5067879592681115,0,0.0055497798981698696,0.3333333333333333
Mono/Macro,FCER1G,46,7.030125314203294,0.4981041040288694,0.3207729468599034,0.16206279874055785,0.5078369905956113
Mono/Macro,LAT2,3,0.05477897052257036,0.4954511290910885,1,0.012149820713679399,0.3468950749464668
Mono/Macro,IL1RAP,5,0.1147862838516696,0.49370514164233403,0.9,0.032658705099085965,0.400990099009901
Mono/Macro,ANPEP,16,0.9910301340287635,0.49088333799368744,0.6,0.08152575533356202,0.44751381215469616
Mono/Macro,NCF2,26,2.665980937305513,0.4905700473693786,0.4123076923076923,0.10517243129291018,0.4602272727272727
Mono/Macro,HMOX1,14,0.7537997836894978,0.4860588754441516,0.6043956043956044,0.07272099527569673,0.44021739130434784
Mono/Macro,DOK3,3,0.05987535792229018,0.479095569172318,1,0.012619046421327653,0.3446808510638298
Mono/Macro,CLEC5A,14,0.8201038538329657,0.47899876941237884,0.46153846153846156,0.05644967744669609,0.4308510638297872
Mono/Macro,TREM2,34,3.9077490540966706,0.47555289622587293,0.40641711229946526,0.1381835401838159,0.48942598187311176
Mono/Macro,IL1A,50,7.794232774693514,0.4706510027146666,0.34530612244897957,0.19404126456769172,0.525974025974026
Mono/Macro,RETN,12,0.5619765678546578,0.4701820168971285,0.6818181818181818,0.06129379522726386,0.4366576819407008
Mono/Macro,SDC2,6,0.9238916320562536,0.4480714605693984,0.26666666666666666,0.013211120496064464,0.3793911007025761
Mono/Macro,OSCAR,9,0.38680970550806804,0.44474431566799094,0.5277777777777778,0.03437934179080786,0.41116751269035534
Mono/Macro,HBEGF,17,1.4218457136297349,0.440959370357074,0.5220588235294118,0.07215446487091785,0.432
Mono/Macro,CYP27A1,5,0.21930202250354952,0.4366873843083605,0.5,0.008587058881422778,0.34913793103448276
